Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats GC Percent	Assembly Stats Number of Contigs	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Level	Assembly Sequencing Tech	Assembly BioProject Accession	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date
GCA_014705125.1	Colletotrichum nymphaeae	KY745	50509097	52	3247	32274	84913	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2017-06-24
GCA_014705155.1	Colletotrichum nymphaeae	KY563	50391861	52.5	3599	44307	131269	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2015
GCA_014705455.1	Colletotrichum nymphaeae	HC646	51255053	52.5	4288	42596	67103	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_029169025.1	Colletotrichum nymphaeae	JS-0361	50069883	52.5	15	3876161	3876161	Contig	Illumina HiSeq (PE + MP); PacBio Sequel	PRJNA784994	Morus alba	South Korea: Inje, Gangwon-do	2011-07-15
GCA_057627285.1	Colletotrichum nymphaeae	IMI391664	50665155	52	425	422263	671044	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	State of Palestine	2000
GCA_057627295.1	Colletotrichum nymphaeae	IMI367468	50362875	52	1807	50179	60191	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA	1995
GCA_057627345.1	Colletotrichum nymphaeae	IMI364856	50723006	52	433	468710	723434	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Spain	1994
GCA_057627355.1	Colletotrichum nymphaeae	IMI360928	50666360	52	453	390375	575672	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Switzerland	1993
GCA_057627475.1	Colletotrichum nymphaeae	IMI351254	49987716	52	52	1489622	3871503	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	Costa Rica	1992
GCA_057627525.1	Colletotrichum nymphaeae	IMI351247	50210584	52	399	218735	3784845	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	United Kingdom	1992
GCA_057627565.1	Colletotrichum nymphaeae	IMI348177	50631024	52	449	406419	569070	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Mississippi	1991
GCA_057627725.1	Colletotrichum nymphaeae	IMI345032	50196644	52	24	3502845	6143361	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	Italy	1991
GCA_057627745.1	Colletotrichum nymphaeae	IMI345031	50692781	52	410	455386	696845	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Italy	1991
GCA_057627765.1	Colletotrichum nymphaeae	IMI345029	50718150	52	444	429889	571502	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Costa Rica	1991
GCA_057627785.1	Colletotrichum nymphaeae	IMI345028	50702000	52	462	339703	493168	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Colombia	1991
GCA_057627805.1	Colletotrichum nymphaeae	IMI324995	50686499	52	420	489799	619908	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Mississippi	1988
GCA_057627815.1	Colletotrichum nymphaeae	IMI324994	50705192	52	468	407400	523921	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Mississippi	1988
GCA_057627865.1	Colletotrichum nymphaeae	IMI324992	50692114	52	491	336237	462734	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA	1988
GCA_057627905.1	Colletotrichum nymphaeae	IMI311743	50714662	52	484	334838	549199	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Ohio	1986
GCA_057627925.1	Colletotrichum nymphaeae	IMI301119	50585732	52	112	1291412	4169906	Scaffold	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA1376502	Strawberry	Kenya	1986
GCA_057924535.1	Colletotrichum nymphaeae	CREADC-F2297	49788693	52	65	1565670	2464281	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Padova, Cittadella	2018-06-24
GCA_057924595.1	Colletotrichum nymphaeae	CREADC-F2298	49791415	52	88	1153637	1757122	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2018-07-18
GCA_057924635.1	Colletotrichum nymphaeae	CREADC-F2476	50061313	52.5	83	1146043	2383216	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2021-03-25
GCA_057924655.1	Colletotrichum nymphaeae	CREADC-F2478	50074693	52.5	84	1211165	1810557	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Costa di Rovigo	2021-03-25
GCA_057924715.1	Colletotrichum nymphaeae	CREADC-F2372	50998582	52	472	1034392	1540796	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, San Dona di Piave	2019-07-14
GCA_057924775.1	Colletotrichum nymphaeae	CREADC-F2296	50074550	52.5	103	893765	1685093	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Padova, Cittadella	2018-08-05
GCA_001563115.1	Colletotrichum nymphaeae SA-01	SA-01	49956273	53	2247	75338	91051	Scaffold	Illumina	PRJNA237763	Fragaria x ananassa	Denmark: Island of Falster	2000-06
GCA_056956705.1	Colletotrichum oblongisporum	CGMCC 3.16074	57259983	52.5	431	349760	368585	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Kunming city, Xishan park	2017-09
GCA_000350065.2	Colletotrichum orbiculare MAFF 240422	104-T	89748316	37.5	6664	50717	2078754	Scaffold	PacBio RSII; Illumina GAIIx; 454	PRJNA171217	Cucumis sativus	Japan: Kyoto	1951
GCF_001831195.1	Colletotrichum orchidophilum	IMI 309357	48556462	51	328	284473	284473	Scaffold	Illumina HiSeq	PRJNA342923	Phalaenopsis sp.	United Kingdom	1986
GCA_001831195.1	Colletotrichum orchidophilum	IMI 309357	48556462	51	328	284473	284473	Scaffold	Illumina HiSeq	PRJNA342923	Phalaenopsis sp.	United Kingdom	1986
GCF_030867605.1	Colletotrichum paranaense	IMI 384185	49177916	52	36	3374443	3374443	Contig	Illumina MiSeq	PRJNA350896	Caryocar brasiliense	Brazil	2000
GCA_030867605.1	Colletotrichum paranaense	IMI 384185	49177916	52	36	3374443	3374443	Contig	Illumina MiSeq	PRJNA350896	Caryocar brasiliense	Brazil	2000
GCA_058130295.1	Colletotrichum parvisporum	CGMCC 3.16078	58866500	51.5	435	387412	457306	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Guangxi province, Debao county	2018-08
GCA_058130275.1	Colletotrichum philoxeroidis	CGMCC 3.18945	51892147	52.5	229	482802	499500	Scaffold	Illumina NovaSeq	PRJNA1452218	Alternanthera philoxeroides	China: Yunnan province, Chengjiang city, Fuxian lake	2014-07
GCF_030913505.1	Colletotrichum phormii	CBS 102054	51666170	52.5	71	1798794	1798794	Contig	PacBio	PRJNA333354	not applicable	missing	missing
GCA_030913505.1	Colletotrichum phormii	CBS 102054	51666170	52.5	71	1798794	1798794	Contig	PacBio	PRJNA333354	not applicable	missing	missing
GCA_014235945.1	Colletotrichum plurivorum	LFN00145	49703650	56	1169	112734	130438	Scaffold	Illumina MiSeq	PRJNA577396	Glycine max	Brazil: Rio Verde, Goias state	2017-05-01
GCA_001563125.1	Colletotrichum salicis	CBS 607.94	48373413	53	5121	25648	46166	Scaffold	Illumina	PRJNA238477	Salix sp.	Netherlands	1994-09-11
GCA_026260285.1	Colletotrichum sansevieriae		98568926	42	3311	63895	73168	Scaffold	Illumina NovaSeq	PRJNA877595	Dracaena trifasciata	USA: Columbus, OH	2021-09-16
GCA_002749775.1	Colletotrichum sansevieriae	Sa-1-2	51201343	50.5	8646	15119	15119	Contig	IonTorrent	PRJNA391063	Dracaena trifasciata	Japan	1996
GCF_011075155.1	Colletotrichum scovillei	TJNH1	52001227	52	15	4871440	4871440	Contig	Oxford Nanopore PromethION	PRJNA605574	Capsicum annuum	China: Tianjin City	2017-07-14
GCA_001593745.2	Colletotrichum scovillei	KC05	52136794	51.5	34	4416304	4416304	Scaffold	Illumina MiSeq; PacBio RSII	PRJNA314171	pepper	South Korea: Seoul	2015
GCA_011075155.1	Colletotrichum scovillei	TJNH1	52001227	52	15	4871440	4871440	Contig	Oxford Nanopore PromethION	PRJNA605574	Capsicum annuum	China: Tianjin City	2017-07-14
GCA_018906675.1	Colletotrichum scovillei	Coll-365	49921975	52	61	3528503	3528503	Scaffold	Illumina GAII	PRJNA692809	chili pepper	Taiwan: Puli, Nantou	2001-07-17
GCA_018906765.1	Colletotrichum scovillei	Coll-153	50113654	52	62	3536762	3536762	Scaffold	Illumina GAII	PRJNA692809	chili pepper	Taiwan: Shanhua, Tainan	1992-07-28
GCA_018907675.1	Colletotrichum scovillei	Coll-524	51490565	52	378	318605	3597184	Scaffold	Illumina HiSeq	PRJNA692809	chili pepper	Taiwan: Shanhua, Tainan	2005-07-14
GCA_026540245.1	Colletotrichum scovillei	YN51	52197969	52	17	4391179	4391179	Scaffold	PacBio Sequel	PRJNA872318	Mangifera indica	China:Yunnan Province	2018
GCA_054857355.1	Colletotrichum scovillei	IMI504891	50146125	52	1450	66363	67229	Scaffold	Illumina HiSeq	PRJNA1394971	Capsicum annuum	Taiwan	2000
GCA_057627385.1	Colletotrichum scovillei	IMI360086	52724550	50.5	628	190759	257844	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Japan	1993
GCA_006783085.1	Colletotrichum shisoi	PG-2018a	69667657	46.5	27161	8230	14839	Scaffold	Illumina HiSeq	PRJNA431477	Perilla frutescens var. crispa	Japan:Osaka	2006-07
GCF_013390195.1	Colletotrichum siamense	Cg363	62936415	51	22	5441060	5441060	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Chiba	2007
GCA_008520285.1	Colletotrichum siamense		55961623	52.5	299	734081	927217	Scaffold	Illumina HiSeq	PRJNA504379		Thailand: Chiang Mai	2008-01-16
GCA_011426375.1	Colletotrichum siamense	COLG-38	55426472	52.5	472	270039	5443879	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011426385.1	Colletotrichum siamense	COLG-34	50611973	52.5	1072	91764	3772317	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011428095.1	Colletotrichum siamense	COLG-50	54084473	52.5	4281	16936	16939	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011428115.1	Colletotrichum siamense	COLG-44	55623133	52.5	4417	17122	17376	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011445115.1	Colletotrichum siamense	COLG-90	55892736	52.5	1884	49549	50399	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan: Punjab	2016
GCA_011947465.1	Colletotrichum siamense	CsLH17	60116880	52	319	441266	441266	Contig	Illumina HiSeq	PRJNA613862	Camellia oleifera	China: Huna	2017-02-12
GCA_013201745.1	Colletotrichum siamense	CAD2	58148672	52.5	290	493461	709060	Scaffold	Illumina HiSeq	PRJNA476648	Manihot esculenta	Viet Nam:TuliemHanoi	2014
GCA_013201755.1	Colletotrichum siamense	CAD5	57642425	52.5	322	536909	656815	Scaffold	Illumina HiSeq	PRJNA476648	Manihot esculenta	Viet Nam:BencatBinhduong	2013
GCA_013201795.1	Colletotrichum siamense	CAD4	58153656	52.5	304	572163	823408	Scaffold	Illumina HiSeq	PRJNA476648	Manihot esculenta	Viet Nam:ThachthatHanoi	2014
GCA_013201865.1	Colletotrichum siamense	CAD1	58399603	52.5	393	603962	881809	Scaffold	Illumina HiSeq	PRJNA476648	Manihot esculenta	Viet Nam: BariaVungtau	2013
GCA_013390195.1	Colletotrichum siamense	Cg363	62936415	51	22	5441060	5441060	Contig	PacBio Sequel	PRJNA476648	strawberry	Japan: Chiba	2007
GCA_014705055.1	Colletotrichum siamense	KY748	57077230	52.5	2961	44229	114013	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2017-05-24
GCA_014705105.1	Colletotrichum siamense	KY687	57441683	52.5	2022	61874	207360	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Kentucky	2016
GCA_014705195.1	Colletotrichum siamense	KY777	57710956	52.5	2456	57396	179466	Scaffold	Illumina NextSeq	PRJNA625663	Prunus persica	USA:Kentucky	2017
GCA_014705345.1	Colletotrichum siamense	KY8	57566763	52.5	2498	45768	77820	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-07-25
GCA_014705385.1	Colletotrichum siamense	KY540	58415579	52.5	3438	37220	59953	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2015-07-21
GCA_014705405.1	Colletotrichum siamense	KY254	58481968	52.5	2963	40575	67367	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-09-30
GCA_014705435.1	Colletotrichum siamense	KY146	58125311	52.5	3148	36516	59576	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-09-16
GCA_014706345.1	Colletotrichum siamense	HBCG01	58357740	52.5	24	4579047	4579047	Contig	Oxford Nanopore	PRJNA597657	Hevea brasiliensis	China:Hainan	2012-08
GCA_027406165.1	Colletotrichum siamense	YN56	60424442	51.5	17	5203128	5203128	Contig	PacBio Sequel	PRJNA872318		China:yunnan province	2018
GCA_027406245.1	Colletotrichum siamense	GD10	56189955	52.5	14	4998354	4998354	Contig	PacBio Sequel	PRJNA872318		China:guangdong province	2018
GCA_031009615.1	Colletotrichum siamense		55831030	53	563	506610	506610	Contig	Illumina	PRJNA935342	African yam bean	Nigeria: Cross river	2019
GCA_038023885.1	Colletotrichum siamense	HN08	56819887	52.5	10	6661935	6661935	Complete Genome	PacBio HiFi Revio	PRJNA1092795	Hevea brasiliensis	China:Hainan	2013
GCA_047496625.1	Colletotrichum siamense	GUCC 12174	59282255	52.5	19	4916557	4916557	Contig	Illumina NovaSeq; PacBio Sequel	PRJNA898668	Ilex chinensis	China:Guizhou	2017-10-30
GCA_057924295.1	Colletotrichum siamense	CREADC-F2481	56635900	52.5	231	588468	860339	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Venezia, Eraclea	2021-03-25
GCA_059059245.1	Colletotrichum siamense	CBS 194.32	55077187	53	16	5201318	5201318	Contig	Oxford Nanopore GridION	PRJNA1062589	Malus sylvestris	missing	1932
GCA_004367935.1	Colletotrichum sidae	CBS 518.97	86827816	38	14933	36815	39310	Scaffold	Illumina HiSeq	PRJNA445190	Sida spinosa	USA:Arkansas	1991
GCA_057627585.1	Colletotrichum simmondsii	IMI346326	50862996	51.5	139	728524	1324017	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Australia	1967
GCA_001563135.1	Colletotrichum simmondsii	CBS122122	50474234	52	3860	55252	292136	Scaffold	Illumina	PRJNA239224	Carica papaya	Australia	1987-05
GCA_020457885.1	Colletotrichum simmondsii	42936	49176323	52.5	1987	53980	53980	Contig	Illumina HiSeq	PRJNA657976	almond	Australia	1969
GCA_057627705.1	Colletotrichum simmondsii	IMI345034	50794310	51.5	166	520619	904317	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	Australia	1991
GCA_057924145.1	Colletotrichum sojae	C141	50237763	55	818	157304	183279	Scaffold	Illumina NovaSeq	PRJNA1458005	Juglans regia	Italy: Veneto, Rovigo, Adria	2023-08-08
GCA_014235955.1	Colletotrichum sojae	LFN0009	49351125	56	1253	93216	104192	Scaffold	Illumina MiSeq	PRJNA577398	Glycine max	Brazil: Claudia, Mato Grosso	2013-05-02
GCA_030867255.1	Colletotrichum somersetense	CBS 131599	53667270	50	1403	117922	180118	Scaffold	Illumina	PRJNA262441	not applicable	missing	missing
GCA_059792015.1	Colletotrichum sp. AMP-2025a	AMP-2025a	77364018	41	2075	142314	176399	Scaffold	Illumina NovaSeq	PRJNA1233329	Banana	Colombia:Antioquia,Carepa	2020-04-16
GCA_044063575.1	Colletotrichum sp. CLE4	CLE4	48026924	52.5	363	237235	506655	Scaffold	Illumina HiSeq 4000	PRJNA1140278	Zostera marina	USA: Bodega Bay, CA	2018-05-31
GCA_009801095.1	Colletotrichum sp. COLG25	COLG25	56915549	52.5	182	714863	5370971	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan:Punjab	2016
GCA_009800995.1	Colletotrichum sp. COLG31	COLG31	53760195	52.5	722	162796	4980158	Scaffold	Illumina HiSeq	PRJNA554995	Citrus	Pakistan:Punjab	2016
GCA_014705495.1	Colletotrichum sp. HC278	HC278	53185075	53.5	16948	5545	8480	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_014705525.1	Colletotrichum sp. HC292	HC292	54637437	53.5	6973	18742	29983	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013
GCA_003122705.1	Colletotrichum sp. JS-367	JS-367	87196530	47.5	70	8071359	8071359	Scaffold	PacBio; Illumina HiSeq	PRJNA368787		South Korea	2016-06
GCA_025328335.1	Colletotrichum sp. SAR 10_65	SAR 10_65	59664880	51.5	1174	121239	121239	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_028639655.1	Colletotrichum sp. SAR 10_66	SAR 10_66	61044235	51	1334	114296	114296	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025327165.1	Colletotrichum sp. SAR 10_70	SAR 10_70	59535609	51.5	1014	132840	132840	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025327135.1	Colletotrichum sp. SAR 10_71	SAR 10_71	59858058	51.5	1200	118449	118449	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025327155.1	Colletotrichum sp. SAR 10_75	SAR 10_75	60807691	51.5	1046	142260	143811	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025327145.1	Colletotrichum sp. SAR 10_76	SAR 10_76	60132265	51	1215	115369	115369	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025330015.1	Colletotrichum sp. SAR 10_77	SAR 10_77	60541510	51.5	1171	116320	116320	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025327125.1	Colletotrichum sp. SAR 10_86	SAR 10_86	60722520	51.5	1704	96072	96072	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Cameroon	not collected
GCA_025329375.1	Colletotrichum sp. SAR 10_96	SAR 10_96	56155263	52.5	1569	100534	100534	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected
GCA_025329385.1	Colletotrichum sp. SAR 10_98	SAR 10_98	56034424	52.5	1197	116100	116100	Contig	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected
GCA_028654355.1	Colletotrichum sp. SAR 10_99	SAR 10_99	56736506	52.5	1373	99053	99053	Scaffold	Illumina MiSeq	PRJNA728692	Hevea brasiliensis	Peru	not collected
GCA_025328985.1	Colletotrichum sp. SAR11_239	SAR11_239	58100508	52	1160	145788	145788	Scaffold	Illumina MiSeq	PRJNA728692	Theobroma cacao	Indonesia	not collected
GCA_025328625.1	Colletotrichum sp. SAR11_240	SAR11_240	60035199	51.5	1034	134203	134203	Scaffold	Illumina MiSeq	PRJNA728692	Persea americana	Indonesia	not collected
GCA_025328355.1	Colletotrichum sp. SAR11_57	SAR11_57	55451972	53	1795	97317	97546	Scaffold	Illumina MiSeq	PRJNA728692	Persea americana	Panama	not collected
GCA_025328345.1	Colletotrichum sp. SAR11_59	SAR11_59	65090038	49	2878	80323	80713	Scaffold	Illumina MiSeq	PRJNA728692	Mangifera indica	Panama	not collected
GCF_022836535.1	Colletotrichum spaethianum	MAFF 239500	50915707	51	84	1120470	1120470	Contig	PacBio RS2	PRJDB11870	Polygonatum falcatum	Japan:Kagawa	2001-05
GCA_022836535.1	Colletotrichum spaethianum	MAFF 239500	50915707	51	84	1120470	1120470	Contig	PacBio RS2	PRJDB11870	Polygonatum falcatum	Japan:Kagawa	2001-05
GCA_058130255.1	Colletotrichum speciosum	CGMCC 3.16081	49630115	52.5	76	2047185	2406244	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Simao county	2016-08
GCA_058130235.1	Colletotrichum spicati	CGMCC 3.18942	53071071	53	604	566587	640552	Scaffold	Illumina NovaSeq	PRJNA1452218	Myriophyllum spicatum	China: Guizhou province, Weining county, Caohai nature reserve	2015-08
GCA_004366825.1	Colletotrichum spinosum	CBS 515.97	82734851	38.5	10895	56120	93593	Scaffold	Illumina HiSeq	PRJNA445190	Xanthium spinosum	Australia:New South Wales	1983-03-20
GCA_058130215.1	Colletotrichum subhenanense	CGMCC 3.16073	58863695	52	1228	323542	328529	Scaffold	Illumina NovaSeq	PRJNA1452218	Ageratina adenophora	China: Yunnan province, Cangyuan county	2016-08
GCA_020631755.1	Colletotrichum sublineola	CsGL1	67666679	46	74	2691276	2691276	Contig	PacBio Sequel II	PRJNA659716	Sorghum bicolor	not applicable	2020-07
GCA_000696135.1	Colletotrichum sublineola	TX430BB	46755813	53.5	6383	13516	70717	Scaffold	Illumina GAII	PRJNA246670	Sorghum bicolor	USA: Texas	1985
GCA_001951195.1	Colletotrichum sublineola	CgSl1	64848627	46.5	3399	44622	339276	Scaffold	454	PRJNA356071	Sorghum bicolor	USA: Indiana	1982
GCA_030867325.1	Colletotrichum sublineola	S3.001	46916122	53	1675	63545	83759	Scaffold	Illumina	PRJNA262370	not applicable	missing	missing
GCA_036851105.1	Colletotrichum tabaci	YC1	52145981	54	58	3611167	3611167	Contig	PacBio RSII	PRJNA962315	Nicotiana tabacum	China	2020-08-20
GCF_030869305.1	Colletotrichum tamarilloi	Tom-12	52071711	51	605	410822	410822	Scaffold	Illumina MiSeq	PRJNA348678	Solanum betaceum	Colombia: Antioquia, Santa Rosa	1998
GCA_030869305.1	Colletotrichum tamarilloi	Tom-12	52071711	51	605	410822	410822	Scaffold	Illumina MiSeq	PRJNA348678	Solanum betaceum	Colombia: Antioquia, Santa Rosa	1998
GCA_054857445.1	Colletotrichum tamarilloi		51879513	51	2784	39131	39671	Scaffold	Illumina HiSeq	PRJNA1395023	Solanum betaceum	Colombia: Antioquia, Santa Rosa	1998
GCA_005350895.1	Colletotrichum tanaceti		57912474	49.5	6408	36517	103135	Scaffold	Illumina	PRJNA421029	Tanacetum cinerariifolium	Australia:University of Melbourne, Parkville	2013
GCA_026229895.1	Colletotrichum tanaceti	BRIP57315	51501111	52.5	10852	9510	10040	Scaffold	Illumina	PRJNA492188	Tanacetum cinerariifolium	Australia:Tasmania, Ulverstone	2013
GCA_058130175.1	Colletotrichum tengchongense	CGMCC 3.18950	56964709	52.5	602	338523	355482	Scaffold	Illumina NovaSeq	PRJNA1452218	Isoetes sinensis	China: Yunnan province, Tengchong city	2014-08
GCA_057627305.1	Colletotrichum theobromicola	IMI391663	59024348	51.5	414	347810	585870	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	State of Palestine	2000
GCA_014705045.1	Colletotrichum theobromicola	CF75	55881512	52.5	2534	59058	123512	Scaffold	Illumina NextSeq	PRJNA625663	Fragaria x ananassa	USA:Mississippi	1981
GCA_014705415.1	Colletotrichum theobromicola	KY152	56531194	52.5	6954	15820	23897	Scaffold	Illumina NextSeq	PRJNA625663	Malus domestica	USA:Kentucky	2013-09-20
GCA_057627535.1	Colletotrichum theobromicola	IMI348182	56191254	52.5	360	361126	473936	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA: Florida	1991
GCA_057627875.1	Colletotrichum theobromicola	IMI324985	56137359	52.5	325	395011	544046	Scaffold	Illumina NovaSeq	PRJNA1376502	Strawberry	USA	1988
GCA_022836555.1	Colletotrichum tofieldiae	MAFF 712333	54252643	53	19	6011218	6011218	Contig	PacBio RS2	PRJDB11870	Eliokarmos dubius	Japan:Yamagata	2003-03
GCA_001618705.1	Colletotrichum tofieldiae	CBS 168.49	52962735	53	1303	284889	294339	Scaffold	Illumina HiSeq	PRJNA286723	Lupinus polyphyllus	Germany: Berlin-Dahlem	1932-10
GCA_001618715.1	Colletotrichum tofieldiae	CBS 127615	52719552	53	794	372643	377287	Scaffold	Illumina HiSeq	PRJNA286721	Agapanthus sp.	Portugal	missing
GCA_001618725.1	Colletotrichum tofieldiae	CBS 495.85	53491261	53.5	1663	245346	245346	Scaffold	Illumina HiSeq	PRJNA286757	Tofieldia calyculata	Switzerland: Graubuenden	1985-07
GCA_001618735.1	Colletotrichum tofieldiae	CBS 130851	53216229	52.5	477	364528	364528	Scaffold	Illumina HiSeq	PRJNA286720	Semele androgyna	Germany: Berlin	2010-12
GCA_001625265.1	Colletotrichum tofieldiae	0861	52836184	53.5	1048	209340	209340	Scaffold	454;Illumina HiSeq	PRJNA286731	Arabidopsis thaliana	Spain: Las Rozas	2008
GCA_022836575.1	Colletotrichum tofieldiae	MAFF 712334	53983402	53	27	3719715	3719715	Contig	PacBio RS2	PRJDB11870	Eliokarmos dubius	Japan:Yamagata	2003-03
GCA_022836595.1	Colletotrichum tofieldiae	0861	52991954	53	28	4211846	4211846	Contig	PacBio RS2	PRJDB11870	Arabidopsis thaliana	Spain:Las Rozas	2008
GCA_004367215.1	Colletotrichum trifolii	543-2	109659959	36.5	16095	26965	35434	Scaffold	Illumina HiSeq; PacBio RSII	PRJNA506861	Medicago sativa	Japan: Chiba	1966
GCA_027406125.1	Colletotrichum tropicale	HN32	56942285	52.5	13	5037009	5037009	Contig	PacBio Sequel	PRJNA872318		China:hainan province	2018
GCA_013201785.1	Colletotrichum tropicale	CgS9275	55848179	52.5	939	343236	691924	Scaffold	Illumina HiSeq	PRJNA476648	mulberry	Japan:Okinawa	1992-11
GCA_027942835.1	Colletotrichum tropicale	IMI 366226	54633813	53.5	1788	63560	63560	Contig	Illumina NovaSeq; Oxford Nanopore MinION	PRJNA786750	Manikara bidentata	Puerto Rico	1994
GCA_060697215.1	Colletotrichum tropicale	PPO96	56660673	52.5	149	690988	1054543	Scaffold	NovaSeq6000	PRJNA1489783		Japan: Okinawa Prefecture, Itoman	2021-11
GCA_025962755.1	Colletotrichum tropicicola	FJ4	55108579	54.5	1074	113007	120602	Scaffold	Illumina NovaSeq	PRJNA889704	Guanxi pomelo	China:Fujian	2018
GCF_014235925.2	Colletotrichum truncatum	CMES1059	57008971	49.5	22	4568912	4568912	Contig	Illumina NovaSeq; PacBio RSII	PRJNA563581	Glycine max	Brazil: Londrina, Parana	2004
GCA_002632455.2	Colletotrichum truncatum	MTCC 3414	57912832	49.5	4151	29525	2268405	Scaffold	PacBio; Illumina HiSeq	PRJNA380187	Capsicum annuum	India: Pondicherry	2000-01-01
GCA_008131165.1	Colletotrichum truncatum		59632073	51.5	6661	49640	132868	Scaffold	Illumina NextSeq	PRJNA531610		India: Andhra Pradesh	2014-09-17
GCA_011947275.1	Colletotrichum truncatum	KLC.C- 4	44146251	49.5	1396	58895	1509490	Scaffold	Illumina HiSeq	PRJNA594831	Capsicum annuum	India: kurnool	2014-12-22
